group_name,introduction,learning_content,related_groups,main_subjects,recommended_subjects,chart_description,link
資訊 學群,以資訊處理各層次的理論與實務技術，包括電腦程式設計與系統、電腦軟硬體結構、網路架設、資訊安全保密、資訊系統的統整、規劃與管理。,"以資訊處理各層次的理論與實務技術，包括電腦程式設計與系統、電腦軟硬體結構、網路架設、資訊安全保密、資訊系統的統整、規劃與管理。
資訊學群主要學習電腦的軟硬體結構、各種電腦作業系統的原理，進而瞭解各種電腦程式設計的方法、找出電腦程式的錯誤並加以修正。課程中更包括學習資訊系統的統整規畫與管理，電腦保密方法及電腦病毒防治。
資訊工程 
生物資訊 
資訊傳播 
媒體設計 
圖書資訊 
數位學習 
資訊管理 
電機工程 
光電工程 
電子工程 
通訊工程 
電機資訊 
數據統計
本學群以資訊工程、通訊工程為學群重心。學類聚集效果鮮明，如左區的光電工程、電子工程、電機資訊、電機工程為一群；通訊工程、資訊工程為一群。另數據統計、資訊管理、圖書資訊、數位學習、資訊傳播、媒體設計等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
實用型(R) 
研究型(I)
資訊電子 
數學 
網路電信 
工程科技
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
數學  
資訊科技  
英語文  
國語文  
物理  
生活科技
數學甲  
進階程式設計  
語文表達與傳播應用  
英文閱讀與寫作  
英語聽講  
數學乙  
科技應用專題  
工程設計專題  
More...

專題閱讀與研究  
電磁現象一  
電磁現象二與量子現象  
未來想像與生涯進路  
機器人專題
程式設計 


數理科學 


邏輯推理 


主動學習 


問題解決 


語文理解與表達
主動積極 


堅毅負責 


合作互助
資訊／軟體／系統相關職類   
工程／研發／生技相關職類
","['工程', '數理化']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=1
工程 學群,將基礎科學的知識與工程技術結合，依生產實務區分為各專門領域，以培育高層技術人才。包括所有與「工程」相關的學系。,"將基礎科學的知識與工程技術結合，依生產實務區分為各專門領域，以培育高層技術人才。包括所有與「工程」相關的學系。
電機電子：包括電路的基本結構與構造、電子零件的功能及原理、設計與測試積體電路、電子零件組成機器設備、通訊器材的技術等。機械工程： 包括機械材料與加工方式、機械作用原理、飛機船舶的結構、機械設計與製作、發動機原理等。土木工程：包括規劃設計興建與管理橋樑道路及建築物、各種土木工程材料、繪製工程藍圖、灌溉工程與水土保持等。化學工程：包括化學工業的程序控制與設計、高分子材料的成份與加工、化工產品製造過程的能量需求、觸媒的作用原理、化學平衡定律等。材料工程：包括電子、陶瓷、金屬、高分子等材料的理論基礎、制程、加工與分析檢測，提升高科技產值及發揮技術密集效果。工業管理：工業工程與管理的科際整合，強調以資訊、管理及自動化生產之專業人才培養。
資訊工程 
電機工程 
光電工程 
電子工程 
通訊工程 
工程科學 
機械工程 
航空工程 
土木工程 
水利工程 
化學工程 
材料工程 
生醫工程 
環境工程 
建築 
科技教育 
工業管理 
運輸物流 
電機資訊 
工程跨學類
本學群以航空、土木、機械工程為學群重心。學類聚集效果鮮明，如中左區的光電、電子、電機、電機資訊為一群；化學、材料、工程科學、生醫工程、工程跨學類為一群；土木、水利工程為一群。另運輸物流、建築、環境工程等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
實用型(R) 
研究型(I)
數學 
工程科技 
物理 
資訊電子 
機械
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
數學  
英語文  
物理  
資訊科技  
國語文  
化學
數學甲  
進階程式設計  
語文表達與傳播應用  
英文閱讀與寫作  
英語聽講  
力學一  
工程設計專題  
力學二與熱學  
More...

電磁現象一  
科技應用專題  
專題閱讀與研究  
數學乙  
電磁現象二與量子現象  
有機化學與應用科技
數理科學 


邏輯推理 


主動學習 


程式設計 


問題解決 


語文理解與表達
主動積極 


堅毅負責 


合作互助
工程／研發／生技相關職類   
資訊／軟體／系統相關職類
","['資訊', '數理化']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=2
數理化 學群,是所有工程、科學、科技、數位系統運作的基礎知識，數理化學群強調基礎數理化的探究、周密的思考邏輯訓練，輔以系統化的課程，使同學培養基礎科學的知識能力，並建立實務研究的扎實背景。,"是所有工程、科學、科技、數位系統運作的基礎知識，數理化學群強調基礎數理化的探究、周密的思考邏輯訓練，輔以系統化的課程，使同學培養基礎科學的知識能力，並建立實務研究的扎實背景。
以基礎自然科學的基礎原理與原則的知識為核心，數理化的探究強調以符號、圖形和數字做邏輯性思考，並且以實驗與實作探究細膩的自然、生物現象。
數學 
化學 
物理 
自然科學 
生化 
數學教育 
數據統計 
數理化跨學類
本學群的學類分佈不易判斷學群重心，或許可以物理、數學、自然科學學類為重心，化學、數理化跨學類為一群。另數學教育、數據統計、財金統計、生化等呈現分散狀態，有其獨特性。因學類間仍有其獨立特性，需要多關注各學類的介紹與說明。
研究型(I)
數學 
物理 
化學 
資訊電子
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
數學  
物理  
化學  
英語文  
資訊科技  
國語文
數學甲  
語文表達與傳播應用  
英文閱讀與寫作  
進階程式設計  
力學一  
數學乙  
電磁現象二與量子現象  
波動、光與聲音  
More...

物質與能量  
力學二與熱學  
物質構造與反應速率  
化學反應與平衡二
數理科學 


邏輯推理 


主動學習 


問題解決 


敏銳創造 


程式設計
主動積極 


堅毅負責 


深思力行
工程／研發／生技相關職類   
教育／學術／研究相關職類
","['資訊', '工程', '生命科學', '地球環境']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=3
醫藥衛生 學群,醫藥衛生學群學習維護人類身心健康相關之知識及技術，從個人到整個人群，包括身心健康的維持、疾病或傷害的預防與治療。,"醫藥衛生學群學習維護人類身心健康相關之知識及技術，從個人到整個人群，包括身心健康的維持、疾病或傷害的預防與治療。
以維護人類身心健康相關為目標之知識及技術，包含生理運作機制、藥物作用機制、疾病與傷害發展與預防等知識技術，在人類身上強調預防與治療的作用與機制。
醫學 
公共衛生 
牙醫 
物理治療 
職能治療 
護理 
醫學檢驗 
影像放射 
藥學 
食品營養 
呼吸治療 
健康照護 
化妝品 
職業安全 
獸醫 
醫務管理 
運動保健 
視光 
語療聽力
本學群以醫學學類為學群重心。學類聚集效果鮮明，如中下區的呼吸治療、護理、語療聽力、職能治療、運動保健、健康照護、物理治療為一群；牙醫、獸醫、影像放射、醫學檢驗、藥學為一群。另職業安全、醫務管理、食品營養、化妝品等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
研究型(I) 
實用型(R) 
社會型(S)
醫學 
生命科學 
化學 
外國語文
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
生物  
英語文  
國語文  
化學  
健康與護理  
數學
語文表達與傳播應用  
動物體的構造與功能  
英文閱讀與寫作  
細胞與遺傳  
英語聽講  
有機化學與應用科技  
數學甲  
安全教育與傷害防護  
More...

運動與健康  
未來想像與生涯進路  
思考：智慧的啟航  
專題閱讀與研究  
生態、演化及生物多樣性  
健康與休閒生活  
閩東語文口語溝通與表達
主動學習 


語文理解與表達 


問題解決 


邏輯推理 


社會覺察與合作 


批判思考
主動積極 


合作互助 


樂群敬業
醫療／美容／生命相關職類   
教育／學術／研究相關職類
","['生命科學', '地球環境']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=4
生命科學 學群,生命科學學群著重於動植物生活型態、生命現象的知識探究，包括生命的發生、遺傳、演化、構造、功能、細胞及分子層次機制等。,"生命科學學群著重於動植物生活型態、生命現象的知識探究，包括生命的發生、遺傳、演化、構造、功能、細胞及分子層次機制等。
學習的內容包含了生物生命相關領域的基礎學科，包含生態學、演化學、生理細胞學、分子生物學、基礎醫學、尖端生物科技等主要生命科學領域，以及病毒、微生物、植物、動物等所有生物類，並包含生物工程科技等技術與學理。
生物資訊 
生醫工程 
生化 
生命科學 
生物科技 
植物保護 
生態 
食品生技
本學群以生命科學、生物科技、生化學類為學群重心。學類聚集效果鮮明，如中區的生命科學、生物科技、生化、植物保護為一群。另生態、食品生技、生醫工程、生物資訊等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
研究型(I)
生命科學 
化學 
醫學 
數學
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
生物  
化學  
英語文  
數學  
國語文  
物理
細胞與遺傳  
動物體的構造與功能  
語文表達與傳播應用  
英文閱讀與寫作  
生命的起源與植物體的構造與功能  
生態、演化及生物多樣性  
有機化學與應用科技  
數學甲  
More...

英語聽講  
進階程式設計  
化學反應與平衡一
邏輯推理 


主動學習 


數理科學 


問題解決 


語文理解與表達 


敏銳創造
主動積極 


堅毅負責 


探究冒險
工程／研發／生技相關職類   
教育／學術／研究相關職類
","['數理化', '醫藥衛生', '地球環境']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=5
生物資源 學群,生物資源學群強調的是動植物等生物資源的栽培改良及病蟲害防治、家畜的品種改良、畜漁產品的加工利用及研發、森林保護與經營管理、生活環境之設計經營、農業機具的製造與相關技術之訓練等，屬於生物資源與科技整合的學門。,"生物資源學群強調的是動植物等生物資源的栽培改良及病蟲害防治、家畜的品種改良、畜漁產品的加工利用及研發、森林保護與經營管理、生活環境之設計經營、農業機具的製造與相關技術之訓練等，屬於生物資源與科技整合的學門。
生物資源領域有：農藝、畜產、園藝、獸醫、森林、植病、海洋資源。
獸醫 
植物保護 
生態 
農藝 
動物科學 
園藝 
森林 
海洋資源 
食品生技
本學群以植物保護、動物科學學類為學群重心。學類聚集效果鮮明，如中下區的森林、農藝、園藝為一群；左區的動物科學、食品生技為一群。另獸醫、生態等呈現分散狀態，有其獨特性。因學類間仍有其獨立特性，需要多關注各學類的介紹與說明。
研究型(I) 
實用型(R)
生命科學 
化學 
生資食科 
外國語文
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
生物  
英語文  
化學  
國語文  
數學
語文表達與傳播應用  
細胞與遺傳  
有機化學與應用科技  
英文閱讀與寫作  
專題閱讀與研究  
英語聽講  
生態、演化及生物多樣性  
動物體的構造與功能  
More...

生命的起源與植物體的構造與功能  
化學反應與平衡一  
數學甲
主動學習 


問題解決 


語文理解與表達 


邏輯推理 


數理科學 


敏銳創造
主動積極 


樂群敬業 


合作互助
教育／學術／研究相關職類   
農林漁牧相關相關職類   
工程／研發／生技相關職類
","['數理化', '醫藥衛生', '生命科學', '地球環境']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=6
地球環境 學群,地球環境學群主要研究人類生存環境的各種自然現象及人文現象、資源的分佈與特色、污染成因與防治，也研究改變人文與自然環境之科學理論及工程技術等。,"地球環境學群主要研究人類生存環境的各種自然現象及人文現象、資源的分佈與特色、污染成因與防治，也研究改變人文與自然環境之科學理論及工程技術等。
以地球的地圈、水圈、氣圈、生物圈等生態系統知識為核心，研究這些地球環境系統上各種現象的成因以及觀察指標設計、以及自然災害防治等，也研究改變人文與自然環境之科學理論及工程技術等。
工程科學 
水利工程 
環境工程 
地球科學 
地理 
海洋科學 
大氣科學 
防災 
史地
本學群以地球科學、環境工程學類為學群重心。學類聚集效果鮮明，如中上區的海洋科學、地球科學、大氣科學為一群；環境工程、工程科學為一群；中下區的水利工程、防災為一群。另史地、地理等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
研究型(I) 
實用型(R)
數學 
物理 
地球環境 
化學
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
數學  
物理  
英語文  
化學  
地球科學
數學甲  
語文表達與傳播應用  
力學一  
地質與環境  
英語聽講  
探究與實作：地理與人文社會科學研究  
大氣、海洋及天文  
英文閱讀與寫作  
More...

空間資訊科技  
力學二與熱學  
社會環境議題  
波動、光與聲音
數理科學 


邏輯推理 


主動學習 


問題解決 


語文理解與表達 


敏銳創造
主動積極 


合作互助 


深思力行
教育／學術／研究相關職類   
工程／研發／生技相關職類
","['數理化', '醫藥衛生', '生命科學', '生物資源']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=7
建築設計 學群,建築設計學群主要探究自然社會環境、都市建築規畫、以及室內設計、商業設計等結合人文藝術與工程技術領域，對物體、空間或環境同時能賦予實用與美學之特性。,"建築設計學群主要探究自然社會環境、都市建築規畫、以及室內設計、商業設計等結合人文藝術與工程技術領域，對物體、空間或環境同時能賦予實用與美學之特性。
以人文藝術與數位、工程科技等知識、技術為主，學習圖學、色彩學、設計概念、建築設計、景觀規劃與設計等實用功能及美學整體表達。
媒體設計 
建築 
都市計畫 
空間設計 
工業設計 
工藝 
商業設計 
服裝設計 
藝術設計
本學群以商業設計、藝術設計學類為學群重心。學類聚集效果鮮明，如左區的商業設計、藝術設計、媒體設計等為一群；中下區的建築、空間設計為一群。另工業設計、服裝設計、工藝、都市計畫等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
藝術型(A) 
實用型(R)
設計 
藝術 
傳播媒體 
歷史文化 
建築營造
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
美術  
藝術生活  
國語文  
英語文  
資訊科技  
歷史
語文表達與傳播應用  
基本設計  
新媒體藝術  
英語聽講  
科技、環境與藝術的歷史  
工程設計專題  
專題閱讀與研究  
探究與實作：公共議題與社會探究  
More...

英文閱讀與寫作  
空間資訊科技  
未來想像與生涯進路  
進階程式設計
敏銳創造 


主動學習 


語文理解與表達 


問題解決 


遠觀細察 


空間定向
主動積極 


變通開創 


合作互助
廣告／公關／設計相關職類   
營建／製圖／施作相關職類
","['工程', '地球環境', '藝術']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=8
藝術 學群,藝術學群包括各類表達形式及創作過程的學習及賞析，結合各種特定形式來闡述人生中抽象意義層次的理念感受，運用創作者本身意識並配合各項藝術表現的基礎理論，用以詮釋生命的各種可能性。,"藝術學群包括各類表達形式及創作過程的學習及賞析，結合各種特定形式來闡述人生中抽象意義層次的理念感受，運用創作者本身意識並配合各項藝術表現的基礎理論，用以詮釋生命的各種可能性。
以人文社會、哲學、史學等知識背景為核心，學習各種藝術表達的概念與創作實踐，使用各種物質媒材為基底展現藝術的表達以及創造論述。
工業設計 
工藝 
商業設計 
服裝設計 
美術 
音樂 
表演藝術 
藝術設計 
舞蹈 
藝術跨學類
本學群以美術、藝術設計、表演藝術學類為學群重心。學類群聚效果明顯，如舞蹈、音樂、美術、表演藝術為一群；服裝設計、商業設計、藝術設計、藝術跨學類為一群。另工藝、工業設計等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
藝術型(A)
藝術 
設計 
傳播媒體 
歷史文化
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
美術  
藝術生活  
音樂  
國語文  
英語文  
歷史
語文表達與傳播應用  
基本設計  
表演創作  
新媒體藝術  
英語聽講  
多媒體音樂  
科技、環境與藝術的歷史  
各類文學選讀  
More...

專題閱讀與研究  
未來想像與生涯進路  
英文閱讀與寫作
敏銳創造 


語文理解與表達 


主動學習 


專注力 


遠觀細察 


問題解決
主動積極 


堅毅負責 


樂群敬業
廣告／公關／設計相關職類   
傳播／娛樂／藝術相關職類   
教育／學術／研究相關職類
","['建築設計', '大眾傳播', '文史哲']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=9
社會心理 學群,社會心理學群著重社會結構及社會現象的觀察、分析批判，關懷人類心智行為形成成因、表現形式、後端影響的系統結構、個體心理狀態的探討，並且提供各種助人專業訓練，以提升眾人、個體的生活福祉。,"社會心理學群著重社會結構及社會現象的觀察、分析批判，關懷人類心智行為形成成因、表現形式、後端影響的系統結構、個體心理狀態的探討，並且提供各種助人專業訓練，以提升眾人、個體的生活福祉。
著重社會系統與社會學的學習，以及個體內在心理歷程的探究為核心，包含性別、文化、族群、地區、階級、社會公平等的探究，採用量化、質性方法的研究方法進行社會生活現象的分析。
心理 
社會學 
社會工作 
人類民族 
兒童家庭 
宗教 
輔導諮商 
犯罪防治 
勞工關係
本學群以社會工作、輔導諮商學類為學群重心。學類聚集效果鮮明，如中下區的輔導諮商、心理為一群；中區的社會工作、社會學為一群。另兒童家庭、宗教、人類民族、犯罪防治、勞工關係等呈現分散狀態，有其獨特性。生涯志向可依據相近位置的學類納為選擇範圍。
藝術型(A) 
社會型(S)
社會人類 
心理學 
治療諮商 
本國語文 
人群服務
圖表來源為學群內各校系之重視百分比的平均值，加總為100%；百分比越高，代表越重視。
國語文  
公民與社會  
英語文  
生命教育  
數學  
生涯規劃
語文表達與傳播應用  
探究與實作：公共議題與社會探究  
專題閱讀與研究  
思考：智慧的啟航  
英文閱讀與寫作  
未來想像與生涯進路  
族群、性別與國家的歷史  
民主政治與法律  
More...

創新生活與家庭  
英語聽講  
數學乙  
現代社會與經濟
語文理解與表達 


社會覺察與合作 


批判思考 


問題解決 


邏輯推理 


主動學習
主動積極 


合作互助 


親和接納
教育／學術／研究相關職類
","['醫藥衛生', '文史哲', '教育', '法政']",無主要學科,無推薦科目,無圖表描述,https://collego.edu.tw/Highschool/CollegeIntro?current_college_id=10
